split_num,train_end,test_start,test_end,n_train,n_test,positive_rate,source,name,accuracy,precision,recall,f1,auc
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,model,lstm,0.9420289855072463,0.475,0.13380281690140844,0.2087912087912088,0.9205040232857434
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,model,gru,0.9335748792270532,0.31746031746031744,0.14084507042253522,0.1951219512195122,0.9203642005749271
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,model,transformer,0.8643317230273752,0.2875816993464052,0.9295774647887324,0.43926788685524126,0.9343404577765483
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,model,xgboost,0.9219001610305958,0.19767441860465115,0.11971830985915492,0.14912280701754385,0.7743291516820823
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,ensemble,soft_vote,0.9492753623188406,0.7105263157894737,0.19014084507042253,0.3,0.9167258031536787
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,ensemble,weighted_avg,0.9541062801932367,0.9117647058823529,0.21830985915492956,0.3522727272727273,0.9204694434755415
1,2019-12-31,2020-01-01,2020-12-31,12441,2484,0.0571658615136876,ensemble,stacked,0.7902576489533011,0.20801232665639446,0.9507042253521126,0.3413400758533502,0.9205927280162615
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,model,lstm,0.8538922155688623,0.8841463414634146,0.29471544715447157,0.4420731707317073,0.9681915112742782
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,model,gru,0.8211576846307386,0.7291666666666666,0.14227642276422764,0.23809523809523808,0.958602417618811
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,model,transformer,0.8035928143712575,0.0,0.0,0.0,0.45082169152540996
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,model,xgboost,0.8167664670658683,0.6037735849056604,0.1951219512195122,0.29493087557603687,0.5786049216676966
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,ensemble,soft_vote,0.8327345309381238,0.9101123595505618,0.16463414634146342,0.27882960413080893,0.937474505147436
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,ensemble,weighted_avg,0.8327345309381238,0.9506172839506173,0.1565040650406504,0.268760907504363,0.9537215416863557
2,2020-12-31,2021-01-01,2021-12-31,14925,2505,0.19640718562874251,ensemble,stacked,0.8578842315369262,0.5801886792452831,1.0,0.7343283582089553,0.9635368074992225
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,model,lstm,0.7233441033925686,0.9714285714285714,0.13010204081632654,0.22947131608548932,0.8602931864235056
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,model,gru,0.7423263327948304,0.95625,0.1951530612244898,0.3241525423728814,0.8852922818063395
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,model,transformer,0.7875605815831987,0.7828947368421053,0.45535714285714285,0.5758064516129032,0.8481554855984946
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,model,xgboost,0.7116316639741519,0.8240740740740741,0.11352040816326531,0.19955156950672645,0.6311566736623727
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,ensemble,soft_vote,0.721324717285945,0.9122807017543859,0.1326530612244898,0.23162583518930957,0.8706118528971872
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,ensemble,weighted_avg,0.7277867528271406,0.9230769230769231,0.15306122448979592,0.26258205689277897,0.8731447809620303
3,2021-12-31,2022-01-01,2022-12-31,17430,2476,0.3166397415185784,ensemble,stacked,0.8117932148626817,0.6953316953316954,0.7219387755102041,0.7083854818523154,0.8703630831765329
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,model,lstm,0.5866613418530351,0.4887640449438202,0.08438409311348205,0.14392059553349876,0.7024204843339175
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,model,gru,0.6146166134185304,0.775,0.09020368574199807,0.16159860990443092,0.7351525651181335
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,model,transformer,0.6569488817891374,0.6598513011152416,0.3443258971871969,0.45251752708731674,0.5954079344792096
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,model,xgboost,0.6297923322683706,0.6984732824427481,0.17749757516973813,0.28306264501160094,0.6797518606827189
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,ensemble,soft_vote,0.6373801916932907,0.7530864197530864,0.17749757516973813,0.28728414442700156,0.7251431028477022
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,ensemble,weighted_avg,0.6349840255591054,0.7510729613733905,0.1697381183317168,0.27689873417721517,0.7275583852375411
4,2022-12-31,2023-01-01,2023-12-31,19906,2504,0.41174121405750796,ensemble,stacked,0.6501597444089456,0.5972396486825596,0.46168768186226966,0.5207877461706784,0.7318898267752622
5,2023-12-31,2024-01-01,2024-12-31,22410,2520,0.23531746031746031,model,lstm,0.8341269841269842,1.0,0.2951096121416526,0.4557291666666667,0.9829676969942531
5,2023-12-31,2024-01-01,2024-12-31,22410,2520,0.23531746031746031,model,gru,0.8091269841269841,1.0,0.18887015177065766,0.3177304964539007,0.980472752953284
5,2023-12-31,2024-01-01,2024-12-31,22410,2520,0.23531746031746031,model,transformer,0.7111111111111111,0.4307692307692308,0.7082630691399663,0.5357142857142857,0.8004285422998466
5,2023-12-31,2024-01-01,2024-12-31,22410,2520,0.23531746031746031,model,xgboost,0.8194444444444444,0.6916666666666667,0.41989881956155145,0.5225603357817419,0.7911510434396798
5,2023-12-31,2024-01-01,2024-12-31,22410,2520,0.23531746031746031,ensemble,soft_vote,0.861904761904762,0.9520295202952029,0.4350758853288364,0.5972222222222222,0.9278028302869228
5,2023-12-31,2024-01-01,2024-12-31,22410,2520,0.23531746031746031,ensemble,weighted_avg,0.8642857142857143,0.9808429118773946,0.4317032040472175,0.5995316159250585,0.9386800337093105
5,2023-12-31,2024-01-01,2024-12-31,22410,2520,0.23531746031746031,ensemble,stacked,0.9174603174603174,0.7563249001331558,0.9578414839797639,0.8452380952380952,0.9855501522257158
6,2024-12-31,2025-01-01,2026-12-31,24930,2883,0.2500867152271939,model,lstm,0.8359347901491502,1.0,0.34396671289875175,0.5118679050567595,0.990821797765207
6,2024-12-31,2025-01-01,2026-12-31,24930,2883,0.2500867152271939,model,gru,0.8234477974332293,1.0,0.29403606102635227,0.45444801714898175,0.9890088670658622
6,2024-12-31,2025-01-01,2026-12-31,24930,2883,0.2500867152271939,model,transformer,0.8536246964967048,0.6756756756756757,0.79750346740638,0.7315521628498728,0.9403259682756373
6,2024-12-31,2025-01-01,2026-12-31,24930,2883,0.2500867152271939,model,xgboost,0.8373222337842525,0.7121212121212122,0.5866851595006934,0.6433460076045627,0.862098585965376
6,2024-12-31,2025-01-01,2026-12-31,24930,2883,0.2500867152271939,ensemble,soft_vote,0.8869233437391606,0.9157894736842105,0.6033287101248266,0.7274247491638796,0.9729888722236691
6,2024-12-31,2025-01-01,2026-12-31,24930,2883,0.2500867152271939,ensemble,weighted_avg,0.8876170655567117,0.9250535331905781,0.5991678224687933,0.7272727272727273,0.9760777828101325
6,2024-12-31,2025-01-01,2026-12-31,24930,2883,0.2500867152271939,ensemble,stacked,0.9150190773499827,0.7468879668049793,0.9986130374479889,0.8545994065281899,0.9908731192287411
